N°,Año,Título,Protagonistas,Director,Género,Ub
7,,42,CHADWICK BOSEMAN,,"DRAMA, BASEBALL",16
29,2012,360,JUDE LAW-HOPKINS,,DRAMA,12
34,2009,2012,JOHN CUSACK,,"ACCIÓN, SUSPENSO, FICCIÓN",6
15,2010,007 CASINO ROYALE ,Daniel Craig,,"007, Espionaje, Accion",7
16,2011,007 QUANTUM OF SOLACE,Daniel Craig,,"007, Espionaje, Accion",7
17,2012,007 SKAYFALL,Daniel Craig,,"007, Espionaje, Accion",7
25,,"11:59, TIME TO DIE",,,TERROR,16
30,2011,12 HORAS,Amanda Seyfried,,"Drama, Accion",7
14,,13 ASESINOS,TAKASHI MILKI (D),,ARTES MARCIALES,11
2,,13 FANTASMAS,TONY SHALHOUB,,TERROR ,12
34,2010,13 RULETA RUSA,JASON STATHAN,,"SUSPENSO, DRAMA",1
10,,14 ESPADAS,DONNIE YEN,,ARTES MARCIALES,11
9,2011,50/50,JOSEPH GORDON-L,JONATHAN LEVINE,"Comedia, drama",8
19,1986,9 SEMANAS Y MEDIA,KIM BASINGER,ADRIAN LYNE,"Drama, erotismo",8
2,,A LA CAZA DEL OCTUBRE ROJO,SEAN CONNERY,,SUSPENSO GUERRA,13
28,,A LAS PUERTES DE LOS FANTASMAS,AMANDA MATHEW,,"ACCION, CRIMEN",16
34,2012,A ROMA CON AMOR,WODDY ALLEN,,COMEDIA,12
21,,ABOGADO DL DIABLO,REEVES - PACINO,,DRAMA-SUSP- TERROR,13
25,2010,ACROSS THE LINE,Mario Van Peebles,,"Drama, Accion",7
36,,ADIOS A LA REINA,LEA SEYDOUX,BENOIT JACQUET,"DRAMA, HISTORICA",15
23,,ADORABLE,MOLLY,,TERROR,16
17,2005,AEON FLUX,CHARLIZE THERON,,"Accion, Aventura, Ciencia F.",5
36,2009,AFTER LIFE (Después de la vida),LIAM NEESON,,"DRAMA, SUSPENSO",6
8,2009,AGENTE SALT,Angelina Jolie,,"Accion, Espionaje",7
37,2012,AHOR ES EL MOMENTO,DAKOTA FANNING,,DRAMA,15
39,2012,AL BORDE DEL ABISMO,Sam Worthington,,"Ciencia F. Aventura, Drama",5
20,2013,AL CALOR DE LAS ARMAS,MICKEY ROURKE,CONOR ALLIN,ACCION TERRORISMO,15
25,,ALADIN,DISNEY,,ANIMADA,15
1,,ALERONES ROJOS,CUBA GOODING JR.,,GUERRA HISTORICA,12
24,2004,ALEXANDER,COLIN FARRELL,,ÉPICA HISTÓRICA,1
25,1979,ALIENS,,,"Accion, Suspenso, Ciencia F.",3
26,1986,ALIENS 2,,,"Accion, Suspenso, Ciencia F.",3
27,1992,ALIENS 3,,,"Accion, Suspenso, Ciencia F.",3
28,1997,ALIENS 4,,,"Accion, Suspenso, Ciencia F.",3
12,2012,ALMAS MUERTAS,JESSE JAMES,,TERROR,16
38,1984,AMADEUS,F.MURRAY Abraham,,DRAMA MOZART,6
23,,AMIGOS PARA SIEMPRE (INTOCABLES),ERIC TOLEDANO,,"DRAMA, COMEDIA",15
38,,AMOR,JEAN LOUIS TRINTIGNANT,,DRAMA DE AMOR,15
40,1997,ANASTASIA,DISNEY,,ANIMADO DRAMA,12
12,,ANGELES Y DEMONIOS,TOM HANKS,,"SUSPENSO, INTRIGA",10
24,2009,ANIMAL KINGDOM,Ben Mendelson,,"Drama, Suspenso",7
28,,ANNA KARENINA,KEIRA KNIGHLEY,,DRAMA,15
32,2011,ANONIMO,RHYS IFANS,,BIOGRAFIA SHAKESPEARE,12
27,1979,APOCALIPSIS AHORA,MARLON BRANDO,,"HORROR, GUERRA",1
13,2006,APOCALIPTO,MEL GIBSON (D),MEL GIBSON,"Épica, historia",8
19,2008,APPALOOSA,ED HARRIS,,"WESTERN, ",6
23,,APRENDICES FUERA DE LINEA,,,,16
3,2010,APRENDIZ DE BRUJO,Nicolas Cage,,"AVENTURA, FICCIÓN",6
2,,ARGO,,,,16
38,,ARMADAS Y PELIGROSAS,,,COMEDIA,16
16,1998,ARMAGEDDON,BRUCE WILLIS,,Ficción catastrófica,5
21,,ARTHUR NEWMAN,,,,16
10,1995,ASESINO,STALLONE-BANDERAS,RICHARD DONNER,"Drama,acción",8
36,,ASESINO DEL FUTURO,Joseph Gordkon-Levitt,,THILLER FICCION ,9
18,,ASSASSINS RUN,CHRISTIAN SLATER,,"ACCION, MAFFIA",16
3,2009,AVATAR,,,"Animada, aventura, fam",4
25,2009,AVATAR,J. CAMERON,,"Ciencia F. Aventura, Drama",5
34,2012,AZUL COMO EL JAZZ,MARSHALL ALLMAN,STEVE TAYLOR,Comedia drama,8
1,1990,BAILANDO CON LOBOS,KEVIN COSTNER,,7 Premios Oscar,1
15,2011,BAJO AMENAZA - TRESPASS,NICHOLAS CAGE,JOEL SCHUMACHER,"Drama, Suspenso",8
17,1942,BAMBI,,,"Animada, aventura, fam",4
18,2006,BAMBI 2,,,"Animada, aventura, fam",4
37,2009,BASTARDOS SIN GLORIA,BRAD PITT,,ACCION BELICA,1
1,2005,BATMAN BEGINS,CHRISTIAN BALE,,"Accion, Aventura, Ciencia F.",5
2,2008,BATMAN Caballero oscuro,CHRISTIAN BALE,,"Accion, Aventura, Ciencia F.",5
3,2012,BATMAN El caballero asciende,CHRISTIAN BALE,,,5
31,,BATMAN. EL MISTERIO DE BATWOMAN,,,ANIMADA,16
30,,BATTLESHIP,LIAM NEESON,,FICCION GUERRA,9
19,2011,BEASTLY,,,"Romance, Fantasia",2
27,2012,BEL AMI,ROBERT PATTINSON,,DRAMA,12
10,,BELLEZA AMERICANA,KEVIN SPACEY,SAM MENDES,"DRAMA, FAMILIA",16
35,1959,BEN HUR,Charlton Heston,,"Epica, Biblica",7
29,,BESTIAS DEL SUR SALVAJE,OUVENZHAN WALLIS,BENH ZEITLIN,DRAMA,15
40,1998,BICHOS,,,"Animada, aventura, fam",4
23,2010,BIUTIFUL,JAVIER BARDEM,A. G. IÑARRITU,Drama,8
23,1989,BLACK RAIN,MICHAEL DOUGLAS,,ACCION POLICIAL,2
4,,BLACK RAIN - LLUVIA NEGRA,MICHAEL DOUGLAS,,THRILLER POLICIAL,13
19,2012,BLANCANIEVES Y EL CAZADOR,CHARLIZE THERON,,"Drama, ficción",5
28,2008,BOLT,,,"Animada, aventura, fam",4
7,,BOURNE EL LEGADO,JEREMY RENNER,,THRILER DE ACCION,14
37,2012,BRANDED,ED STOPPARD,JAMIE BRADSHAW,"Accion, Drama, Ficcion",16
4,2001,BROTHERHOOD OF THE WOLF,SAMUEL LE BIHAN,,"SUSPENSO, HISTORICO",1
36,2009,BUSCANDO A NEMO,PIXAR,,ANIMADO,12
34,,BUSQUEDA IMPLACABLE,LIAM NEESON,,TRHILLER SUSPENSO,9
35,,BUSQUEDA IMPLACABLE 2,LIAM NEESON,,TRHILLER SUSPENSO,9
34,2011,"CABALLEROS, PRINCESAS Y O/ BEStias",ZOOEY DESCHANEL,,"AVENTURA, COMEDIA",2
16,2012,CABALLO DE GUERRA,SPIELBERG (D),,DRAMA DE GUERRA,1
39,,CABARET DESIREE,SOFIA PRADA,,EROTICA,9
39,2012,CABRAS,DAVID DUCHOVNY,CRISTOPHER NEIL,Comedia,8
5,2011,CACERIA DE BRUJAS,NICOLAS CAGE,,"SUSPENSO, FICCION",1
40,1979,CALIGULA,Malcolm Mcdowell,,"ROMANA, SEXO, VIOLENCIA",6
37,,CAMBIO DE HÁBITO,WHOOPI GOLDBERG,,COMEDIA,13
15,2011,CAPERUCITA ROJA,AMANDA SEYFRIED,,Suspenso,2
9,2011,CAPITAN AMERICA,CHRIS EVANS,,"Accion, Aventura, Ciencia F.",5
32,1997,CARA A CARA ,CAGE-TRAVOLTA,,"ACCIÓN, SUSPENSO",1
19,1983,CARA CORTADA,AL PACINO,,DRAMA POLICIAL,1
33,,CARGO,MARTIN RAPOLD,,FICCION ESPACIO EXTERIOR,9
6,,CARNICERIA,JODIE FOSTER,,"DRAMA, SUSPENSO",9
1,,CARROS DE FUEGO,BEN CROSS,,DRAMA ATLETISMO,13
5,2010,CARTAS A DIOS,PATRICK DOUHTIE,,COMEDIA DRAMA,12
6,,CASA DE LAS DAGAS VOLADORAS,ZIYI ZHANG,,"MARCIALES, FANTASIA",11
1,,CASABLANCA,,,,16
28,,CAZADORES DE SOMBRAS,,,,16
34,,CHASING MAVERICKS,,,"DRAMA, SURFING",16
13,,CHOCOLATE,JEEJA YANIN,,ARTES MARCIALES,11
9,,CIRCO DEL SOL,CIRCO,,ESPECTACULO,14
22,,CIRCULO OSCURO,,,TERROR,16
26,1963,CLEOPATRA,ELIZABETH TAYLOR,,"DRAMA ÉPICO, HISTORIA",6
9,,CLOSER,NATALIE PORTMAN,,"COMEDIA, DRAMA",9
23,,COBRA,STALLONE,,ACCION POLICIAL,13
11,,CÓDIGO DA VINCI,TOM HANKS,,"SUSPENSO, INTRIGA",10
32,,COLATERAL,TOM CRUISE,,"ACCION, CRIMEN",16
35,2012,COMANDO ESPECIAL,JONAH HILL,,COMEDIA,2
35,2010,COMO ENTRENAR A TU DRAGON,,,"Animada, aventura, fam",4
